The Shawshank Redemption;9.2;1994
The Godfather;9.1;1972
The Godfather: Part II;9.0;1974
Il buono, il brutto, il cattivo;8.9;1966
Pulp Fiction;8.9;1994
Inception;8.9;2010
Schindler's List;8.9;1993
12 Angry Men;8.9;1957
One Flew Over the Cuckoo's Nest;8.8;1975
The Dark Knight;8.8;2008
Star Wars: Episode V - The Empire Strikes Back;8.8;1980
The Lord of the Rings: The Return of the King;8.8;2003
Shichinin no samurai;8.8;1954
Star Wars;8.7;1977
Goodfellas;8.7;1990
Casablanca;8.7;1942
Fight Club;8.7;1999
Cidade de Deus;8.7;2002
The Lord of the Rings: The Fellowship of the Ring;8.7;2001
Rear Window;8.7;1954
